ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
2416;"ООО ""ТЕХИНДУСТРИЯ"" р/с 40702810933000012286 в КУРСКОЕ ОТДЕЛЕНИЕ N8596 ПАО СБЕРБАНК г.Курск";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 6222 от 19.05.2023г. За прокладки S47 EPDM (Sonderlock) 33шт., пластины S47 AISI 316 0,5 31шт. В том числе НДС 20 % - 22329.25 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4632252360    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2417;"ООО ""МАГИСТРАЛЬ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N249116443 от 18.01.2023г,за уплотнение Сумма 198860-00 В т.ч. НДС (20%) 33143-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4632284315    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2418;"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ПАТРИОТИЧЕСКАЯ ОРГАНИЗАЦИЯ ""ZА РОДИНУ!""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №6202 от 16.05.2023 за прокладки, пластины Сумма 32137-59 В т.ч. НДС  (20%) 5356-27;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4632292482    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2419;"УПРАВЛЕНИЕ ФИНАНСОВ АДМИНИСТРАЦИИ ГОРОДА ЖЕЛЕЗНОГОРСКА (МБУ ""БАССЕЙН ""НЕПТУН"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(00000000000000000244 л/с 20446У23360) Аванс 100% за основное средство (насосы) согл. договора поставки товара №398 от 10.05.2023 по счету на оплату №5482 от 10.05.2023 В т.ч. НДС - 25262,03;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4633022217    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2420;"OOO ""КОМФОРТ"" Р/С 40702810532080000222 АО ""Россельхозбанк""//БИК043807798";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО ДОГОВОРУ №1410/ДПО ОТ 14.10.2022 СОГЛАСНО СЧЕТА №1076 ОТ 14.10.2022 СУММА 55272-00 В Т.Ч. НДС (20%) 9212-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4633022993    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2421;"ООО УК ""ЖИЛСЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 5182 от 20.04.2023 г. за оборудование насосное. Сумма 87606-00 В т.ч. НДС  (20%) 14601-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4634012028    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2422;"ООО ""ВИЛАШ-КШВ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Пластина по счету № 1773 от 31 мая 2023 г. В том числе НДС 20% включенный в сумму - 2396,67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4702012163    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2423;"АО АГРОФИРМА ""ВЫБОРЖЕЦ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 13937 от 12.12.2022 за товар В т.ч. НДС (20%) 4853-86 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703006839    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2424;"ТСЖ ""Турбостроитель-2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Циркуляционный насос по сч.9098 от 31.07.2023г. В т.ч. НДС 20% - 34643.45 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703059069    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2425;"ООО ""Аллер Петфуд""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Счет N257113791 от 13.12.2022 Запчасти для оборудования. Сумма 65250-00 руб. В т.ч. НДС (20%) 10875-00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703074719    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2426;"ОАО ""Вт сети""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за промывочную жидкость по сч 1012 от 02.02.22г. Сумма 70144-00 В т.ч. НДС  (20%) 11690-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703096470    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2427;"ООО ""Эко Вилладж""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 10847 от 25,10,2022 Насос CHL 12-50 LSWSR 3,0 кВт С 1шт В том числе НДС 20% (10451.8 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703156922    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2428;"ООО ""Спутник-Ресурс""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N1621100301 от 16/06/22 и N1621100301от 05/07/22 за строительные материалы. Сумма 101138-00 В т.ч. НДС (20%) 16856-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703171198    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2429;"ООО ""ОРИМИ КФ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата по счету № 8468 от 05.08.2022 за запчасти. В т.ч. НДС (20%) 26096-40 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703174640    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2430;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАРИКС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОКОНЧАТЕЛЬНЫЙ РАСЧЕТ ПО СЧЕТУ №15276/RUB ОТ 24 НОЯБРЯ 2021 Г ДОГОВОР 14844 ОТ 11.11.21Г ЗА ТОВАР. В ТОМ ЧИСЛЕ НДС 20%, 38500.00 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4703176742    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2431;"ООО ""АКБ-Сервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Оплата счета N 266114258 от 26.10.2022 за уплотнение М6М; Сумма 15600-00 В т.ч. НДС (20%) 2600-00";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4704050453    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2432;"ТСЖ ""Физкультурная 21""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 156112915 от 06.09.2022 за уплотнение М6В-EPDM-CLIP-проточное 71 шт. Сумма 44872-00 В т.ч. НДС (20%) 7478-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4704095856    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2433;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НТЛ УПАКОВКА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107063. Оплата по: счёту № 22040/RUB от 25.11.2022 79654-80 руб. за насос и реагенты. В т.ч. НДС (20%) 13275-80 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4704105631    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2434;МУП ЖКХ Г.ГАТЧИНЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч.№27358/RUB от 22.06.2023 Сумма 37947-60 В т.ч. НДС  (20%) 6324-60;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4705001297    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2435;"АО ""АПГ ВОСТОЧНАЯ ЕВРОПА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧ№12755 ОТ 21.11.2022 ЗА НАСОС С ДОСТАВКОЙ.СУММА 47753-24В Т.Ч. НДС(20%) 7958-88;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4705019858    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2436;"ТСЖ ""Виктория""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за насос по счету №26710/RUB от 30.06.2023. В том числе НДС 20 % - 12587.25 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4705025749    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2437;"ООО ""КГК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №12624 от 17.10.2023 г. за насос. В том числе НДС 20 % - 9849.30 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4705062444    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2438;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БМК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата по сч.№20933/RUB от 12.10.2022г. VF10-21R насос. В том числе НДС 20%, 26841.54 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4705070886    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2439;"ООО ""Промэнерго""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч 1865 от 20.06.2023 за уплотнители Ридан Сумма 40960-00 В т.ч. НДС (20%) 6826-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4706016137    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2440;"ООО ""Дубровка""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 4013 от 14.04.2022 г. за насосы Pedrollo VX 15/35-ST. 10 метров кабеля. В том числе НДС 20 % - 14991.95 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4706017846    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2441;"ООО ""БРИГАНТИНА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;палата  по счету №11775 от 24.10.2022 за товарСумма 91964-80В т.ч. НДС(20%) 15327-47;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4706038645    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2442;"ООО МЯСОКОМБИНАТ ""НЕЙМА"" Р/С 40702810855300133578 ПАО СБЕРБАНК//БИК044030653";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧ НА ОПЛАТУ № 1153 ОТ 02 НОЯБРЯ 2022 Г. ЗА S19А ПЛАСТИНА AISI 316 0.5 1234 TL СУММА 46000-00 В Т.Ч. НДС (20%) 7666-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4707006935    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2443;"ООО ""АНТЕЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 11620 от 19.10.2022г. за материалы. Сумма 60000-00 В т.ч. НДС  (20%) 10000-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4708011991    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2444;"АО ""ЛУЖСКИЙ МОЛОЧНЫЙ КОМБИНАТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за уплотнение по счету 9312 от 23.08.2022г. 1386-00 руб. В т.ч. НДС (20%) 231-00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4710001969    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2445;"ОАО ""ЛУЖСКИЙ АБРАЗИВНЫЙ ЗАВОД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 9378 от 20.09.22 г. за товары Сумма 50206-00 В т.ч. НДС  (20%) 8367-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4710003532    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2446;"ООО КФ ""Диво-Хлеб""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за насос по сч. 14194 от 24.11.23 В том числе НДС 20.00 % - 11660.17 р.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4710031635    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2447;"ООО ""НИЛА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за уплотнения и прокладки по счету №17315/RUB от 08.04.2022г. В том числе НДС 20 % - 5250.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4711004602    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2448;"ООО ""ТЕХНОКОМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 266121166 от 13.06.2023г. за уплотнение. В т.ч. НДС (20%) 11841-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4711014015    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2449;"АО ПЗ ""ПЕТРОВСКИЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №8565 от 12.08.2022г. за Насос Perdollo 2СР. В том числе НДС 20% (16484 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4712000216    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2450;"ООО ""КУРЬЕР-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ЗА ПЛАСТИНЫ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ ПО СЧ№5334 ОТ 23 МАЯ 2022 Г. В ТОМ ЧИСЛЕ НДС 4369.15 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4712018686    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2451;"ООО ""ЖИЛКОМТЕПЛОЭНЕРГО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Оплата по сч. №21814/RUB от 17.11.2022г. за насос 250WQ600-9-30AC, с авт.трубной муфтой 2 шт, шкаф управления ""Шторм"". В том числе НДС 20 % - 241417.73 рублей.";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4712023541    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2452;"ООО ""НАР""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч. № 7000 от 01.06.23 за изготовление дубликата паспорта на оборудование..  В том числе НДС (20%) - 933.33 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4713007736    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2453;"АО ""ТВСЗ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 266114590 от 03.11.2022 за аппарат пластинчатый В т.ч. НДС 20%- 34666-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4715019631    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2454;"ООО ""НОРМА ЛТД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 5266 от 20.05.22 г. за насосы CDL. в т.ч. НДС 20% 34890.65;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4715026879    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2455;"Акционерное общество ""КНАУФ ПЕТРОБОРД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;сч.13099 за товарыВ том числе НДС 20o/o- 19544-25;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4719011873    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2456;"АО ""Промышленный комплекс ""Энергия""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Оплата за АО ""КировТЭК"" (ИНН 7805060502) по Письму Исх.№91900-79 от 19.01.2022г. за пластины и уплотнение по дог. 919-21153-3 от 10.11.2021 г. в т.ч. НДС 20% - 9 860.00";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4720011010    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2457;"ООО ""АЭРОПОРТСТРОЙ+""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО ДОГОВОРУ СЧЕТУ 8489 ОТ 06.07.2023 ЗА ВТУЛКУ СУММА 10800-00 В Т.Ч. НДС (20%) 1800-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4720020495    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2458;"АО ""ИЭК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 266115056 от 18.11.22г. за уплотнение Сумма 30750-00 В т.ч. НДС (20%) 5125-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4725005187    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2459;"ООО ""Пассат Про""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за материалы по сч№9450 от 26.08.2022г. В том числе НДС(20%) 17047-00.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4725008893    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2460;"ООО ""ЛИПЕЦКГАЗДЕТАЛЬ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за ТМЦ по счету №1316 от 27.02.2023г., в том числе НДС 20 % - 28800.30 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4802004110    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2461;"ООО ""КОЛОСС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ПРЕДОПЛАТА ПО СЧЕТАМ: № 7500 ОТ 14.06.2023, № 7617 ОТ 16.06.2023 ЗА ПЛАСТИНУ И УПЛОТНЕНИЕСУММА 110130-00В Т.Ч. НДС(20%) 18355-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4807012153    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2462;"ООО""КОЛОС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч.№ 12508 от 13.10.2023г. за насос. В том числе НДС 20 % - 13581.53 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4807013559    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2463;"ООО ""ЛЕБЕДЯНЬМОЛОКО"" Р/С 40702810622250001275 БАНК ВТБ (ПАО)//БИК044525411";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО УПД №3 ОТ 13.01.2022 В ТОМ ЧИСЛЕ НДС 14 733.33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4811005751    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2464;"ООО ""ЮниКруп""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N25344/RUB от 04.04.2023г за уплотнение Сумма 34048-00 В т.ч. НДС  (20%) 5674-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4811025275    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2465;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАЛЕЙШЕН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Договор поставки № 252-Е-2023 Аппарат пластинчатый разборный E8-X50-10-16-NER-F-2|158124806.3.2-NST - 1шт Уплотнение E8-X-50-VITONG-CLIP-проточное - 5шт  Предоплата 50% В т.ч. НДС 20% ? 118?388,33 руб;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4813030224    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2466;"Управление финансов Липецкой области(ГОБПОУ ""Чаплыгинский аграрный колледж"" л/с 20001000130)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(004-0704-0000000000-244-346-2222) (223-ФЗ) Опл. запасные части по сч. №15341 от 21.12.2023г. НДС=4666,67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4818000199    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2467;"АО ""ЭНЕРГИЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;част.предоплата по сч 25188/RUB от 29.03.23 г. за пластину, уплотнение В том числе НДС 20% включенный в сумму - 196349,00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4821000142    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2468;"ООО ""ЦЕНТР"" р/с 40702810435100100440 в ЛИПЕЦКОЕ ОТДЕЛЕНИЕ N8593 ПАО СБЕРБАНК г.Липецк";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата по счету №1549 от 14,04,2023г. В том числе НДС 20 % - 5675.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4821012620    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2469;"ООО ""Гарант-Сервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за товар по счету №4754 от 05.05.2022г Сумма 39145-00 В т.ч. НДС (20%) 6524-16;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;4821034818    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
